,0
1.7,1.626414562967168
3.9,3.523000920084894
2.7,0.286387488761131
2.5,2.9159273577417855
-1.5,2.9950569959753603
2.9,2.0794493702079895
0.8,1.0244010009172515
4.6,1.4711811088090798
2.3,2.359299642335995
1.6,2.389573421005952
2.5,1.7463619843408582
0.1,1.6459535399353655
2.7,1.4590073171857363
1.8,1.706262638166115
4.5,3.2061913880241857
3.5,2.494014049869583
-2.1,2.2108029717720585
4.6,2.443783715364126
3.5,2.8758881893971653
2.6,2.136567574023931
0.2,2.3235783779555734
2.3,2.369868424300029
1.5,2.1702756354642267
0.7,1.6136565914209118
0.5,1.6195066415004795
1.2,1.673138741984917
2.9,1.4882017409952923
1.9,2.0960139376890585
0.7,2.729839474958543
2.6,2.4947431462685365
3.0,3.236276809104451
2.6,2.8933074588046597
2.3,2.6079499402660486
4.1,2.7132317526228604
3.5,3.1476955255922867
2.6,2.8960769269615803
3.2,2.1777191667319955
2.1,2.615714161787813
1.9,2.935185582648679
2.1,2.349043085027925
-4.8,2.6539028197350047
-32.9,-5.1622482281956
33.1,2.000619585064197
4.0,3.704307305289861
6.4,1.161851581938446
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
